segment,price_move,baseline_conversion,expected_conversion,conversion_change_pts,weekly_leads,leads_per_arm,weeks_to_detect
Delhi / appliance repair,0.05,0.34657003687699905,0.3380164457057095,-0.8553591171289565,229.03846153846155,48300.830350913595,421.77047493660905
Delhi / appliance repair,0.1,0.34657003687699905,0.32995822648338285,-1.66118103936162,229.03846153846155,12731.601288663585,111.17435214282223
Delhi / appliance repair,0.2,0.34657003687699905,0.31515352069050895,-3.1416516186490107,229.03846153846155,3519.3214184400586,30.731270152625196
Delhi / cleaning,0.05,0.350109107592339,0.30789216867274655,-4.221693891959244,361.4423076923077,1942.554033188361,10.748902338472442
Delhi / cleaning,0.1,0.350109107592339,0.2704151068484496,-7.969400074388938,361.4423076923077,526.9538945149249,2.9158395865683526
Delhi / cleaning,0.2,0.350109107592339,0.20851262925272226,-14.159647833961673,361.4423076923077,155.30930487065888,0.859386416948578
Delhi / pest control,0.05,0.35393661557094824,0.340764133469467,-1.3172482101481253,134.32692307692307,20507.51273232675,305.33734061016213
Delhi / pest control,0.1,0.35393661557094824,0.3284292197750462,-2.5507395795902053,134.32692307692307,5421.461849628112,80.72040549195758
Delhi / pest control,0.2,0.35393661557094824,0.30599038178481675,-4.794623378613149,134.32692307692307,1507.8810255910882,22.450912907870176
Delhi / plumbing,0.05,0.35993907887130505,0.35993907887130505,0.0,184.98076923076923,inf,inf
Delhi / plumbing,0.1,0.35993907887130505,0.35993907887130505,0.0,184.98076923076923,inf,inf
Delhi / plumbing,0.2,0.35993907887130505,0.35993907887130505,0.0,184.98076923076923,inf,inf
Delhi / salon at home,0.05,0.350880963561861,0.320676393582546,-3.0204569979314977,273.8269230769231,3835.794547440782,28.01619727044324
Delhi / salon at home,0.1,0.350880963561861,0.29320748137056385,-5.7673482191297145,273.8269230769231,1028.5079564707344,7.51210249827631
Delhi / salon at home,0.2,0.350880963561861,0.24573361780017336,-10.514734576168763,273.8269230769231,295.1148019019387,2.155484191151178
Hyderabad / appliance repair,0.05,0.3590897428231239,0.3510113493995375,-0.8078393423586405,172.8653846153846,55079.41479625916,637.2521013250587
Hyderabad / appliance repair,0.1,0.3590897428231239,0.343387449017923,-1.5702293805200884,172.8653846153846,14505.979786876349,167.82978060241854
Hyderabad / appliance repair,0.2,0.3590897428231239,0.3293444341027148,-2.9745308720409094,172.8653846153846,4003.173755296366,46.31550456678408
Hyderabad / cleaning,0.05,0.34857032273067184,0.3312088385512085,-1.7361484179463371,281.2307692307692,11682.937322436119,83.08434638493958
Hyderabad / cleaning,0.1,0.34857032273067184,0.3150714682832253,-3.349885444744655,281.2307692307692,3099.701101786372,22.04382621620505
Hyderabad / cleaning,0.2,0.34857032273067184,0.2860724072889152,-6.249791544175665,281.2307692307692,868.6879766511729,6.1777591337337245
Hyderabad / pest control,0.05,0.3482327658627163,0.3171757500775703,-3.105701578514597,106.09615384615384,3611.411809873731,68.0780910326025
Hyderabad / pest control,0.1,0.3482327658627163,0.2890023806743605,-5.923038518835577,106.09615384615384,969.5157779241712,18.27617199639547
Hyderabad / pest control,0.2,0.3482327658627163,0.2405173889912123,-10.771537687150397,106.09615384615384,278.9078835121065,5.25764362611185
Hyderabad / plumbing,0.05,0.3537767881734459,0.3425245262979913,-1.1252261875454583,138.94230769230768,28134.878721556026,404.98648955596224
Hyderabad / plumbing,0.1,0.3537767881734459,0.3319580330474115,-2.1818755126034373,138.94230769230768,7427.698049296313,106.91772970613378
Hyderabad / plumbing,0.2,0.3537767881734459,0.3126472604676163,-4.112952770582956,138.94230769230768,2059.9564586890947,29.65196840189147
Hyderabad / salon at home,0.05,0.3522381113435788,0.3086330638177368,-4.360504752584199,212.57692307692307,1824.7750158170663,17.168138379317433
Hyderabad / salon at home,0.1,0.3522381113435788,0.26999671074225257,-8.224140060132623,212.57692307692307,495.4526055207095,4.661395962923266
Hyderabad / salon at home,0.2,0.3522381113435788,0.2064426205494689,-14.579549079410988,212.57692307692307,146.36944328706915,1.377096263963741
